,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
Ireland,..,,..,,..,,..,,19.0,,19.0,,..,,..,,15.9,,..,,15.9,,..,,..,,..,,0.215,,0.204,,0.196,,..,,..,,..,,..,,0.203,,0.385,,0.452,,0.500,,0.580,,0.663,,0.715,,0.721,,0.736,,0.741,,0.745,,..,,1.088,,1.069,,1.047,,1.029,,1.026,,1.019,,..,,..,,..,,..,,..,,..,,..,,6,,4,,6,,2,,..,,..,,3,,..,,..,,..,,..,,..,,..,,0.159,,0.165,,..,,..,,0.183,,0.191,,0.203,
Israel,..,,..,,..,,..,,17.7,,16.0,,..,,..,,14.3,,..,,14.3,,..,,..,,..,,0.235,,0.193,,0.172,,..,,..,,..,,..,,0.145,,0.553,,0.580,,0.658,,0.724,,0.789,,0.818,,0.819,,0.820,,0.815,,0.831,,..,,0.871,,0.920,,0.953,,0.979,,1.000,,0.994,,..,,..,,..,,..,,..,,..,,..,,12,,10,,9,,7,,..,,..,,7,,..,,..,,..,,..,,..,,..,,0.143,,0.176,,..,,..,,0.165,,0.224,,0.237,
Italy,..,,..,,..,,..,,7.0,,7.0,,..,,..,,4.9,,..,,4.9,,..,,..,,..,,0.194,,0.186,,0.176,,..,,..,,..,,..,,0.124,,0.467,,0.477,,0.526,,0.537,,0.577,,0.617,,0.621,,0.620,,0.631,,0.634,,..,,0.714,,0.741,,0.775,,0.805,,0.825,,0.851,,..,,..,,..,,..,,..,,..,,..,,10,,6,,4,,5,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.112,,0.115,,..,,..,,0.253,,0.254,,0.255,
Jamaica,..,,..,,..,,..,,93.5,,85.4,,..,,..,,77.3,,..,,77.3,,..,,..,,..,,0.457,,0.462,,0.463,,..,,..,,..,,..,,0.450,,0.807,,0.820,,0.816,,0.839,,0.775,,0.754,,0.759,,0.762,,0.763,,0.757,,..,,1.077,,1.087,,1.000,,1.102,,1.081,,1.085,,..,,..,,..,,..,,..,,..,,..,,66,,76,,91,,87,,..,,..,,89,,..,,..,,..,,..,,..,,..,,0.191,,0.157,,..,,..,,0.157,,0.157,,0.191,
Japan,..,,..,,..,,..,,4.4,,5.8,,..,,..,,4.7,,..,,4.7,,..,,..,,..,,0.160,,0.137,,0.149,,..,,..,,..,,..,,0.123,,0.596,,0.622,,0.647,,0.644,,0.645,,0.659,,0.662,,0.661,,0.664,,0.668,,..,,0.912,,0.921,,0.933,,0.942,,0.954,,0.963,,..,,..,,..,,..,,..,,..,,..,,12,,9,,9,,7,,..,,..,,6,,..,,..,,..,,..,,..,,..,,0.119,,0.119,,..,,..,,0.141,,0.153,,0.157,
Jordan,..,,..,,..,,..,,40.6,,31.0,,..,,..,,24.5,,..,,24.5,,..,,..,,..,,0.637,,0.599,,0.513,,..,,..,,..,,..,,0.456,,0.177,,0.196,,0.214,,0.266,,0.287,,0.298,,0.299,,0.305,,0.312,,0.315,,..,,0.406,,0.520,,0.614,,0.751,,0.770,,0.734,,..,,..,,..,,..,,..,,..,,..,,110,,95,,79,,66,,..,,..,,59,,..,,..,,..,,..,,..,,..,,0.026,,0.078,,..,,..,,0.093,,0.093,,0.139,
Kazakhstan,..,,..,,..,,..,,40.0,,28.4,,..,,..,,30.7,,..,,30.7,,..,,..,,..,,0.412,,0.391,,0.360,,..,,..,,..,,..,,0.334,,0.795,,0.788,,0.799,,0.814,,0.848,,0.858,,0.863,,0.868,,0.871,,0.861,,..,,0.821,,0.861,,0.894,,0.929,,0.943,,0.958,,..,,..,,..,,..,,..,,..,,..,,78,,76,,59,,45,,..,,..,,45,,..,,..,,..,,..,,..,,..,,0.126,,0.094,,..,,..,,0.141,,0.158,,0.158,
Kenya,..,,..,,..,,..,,105.7,,104.2,,..,,..,,103.5,,..,,103.5,,..,,..,,..,,0.692,,0.689,,0.655,,..,,..,,..,,..,,0.627,,0.820,,0.823,,0.832,,0.841,,0.852,,0.863,,0.862,,0.861,,0.860,,0.867,,..,,0.255,,0.275,,0.323,,0.369,,0.408,,0.451,,..,,..,,..,,..,,..,,..,,..,,380,,460,,560,,580,,..,,..,,530,,..,,..,,..,,..,,..,,..,,0.037,,0.077,,..,,..,,0.109,,0.109,,0.109,
Kiribati,..,,..,,..,,..,,41.6,,30.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.050,,..,,..,,0.045,,0.045,,0.045,
Korea (Democratic People's Rep. of),..,,..,,..,,..,,1.4,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.688,,0.686,,0.691,,0.686,,0.693,,0.701,,0.703,,0.706,,0.709,,0.711,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,270,,270,,260,,250,,..,,..,,250,,..,,..,,..,,..,,..,,..,,0.251,,0.251,,..,,..,,0.251,,0.184,,0.184,
Korea (Republic of),..,,..,,..,,..,,3.0,,2.2,,..,,..,,5.5,,..,,5.5,,..,,..,,..,,0.254,,..,,0.119,,..,,..,,..,,..,,0.111,,0.571,,0.590,,0.642,,0.644,,0.666,,0.682,,0.689,,0.688,,0.691,,0.696,,..,,0.574,,0.673,,0.688,,0.784,,0.819,,0.846,,..,,..,,..,,..,,..,,..,,..,,18,,18,,19,,18,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,0.154,,..,,..,,0.159,,0.173,,0.173,
Kuwait,..,,..,,..,,..,,26.9,,16.1,,..,,..,,13.2,,..,,13.2,,..,,..,,..,,0.593,,0.436,,0.359,,..,,..,,..,,..,,0.229,,0.244,,0.349,,0.440,,0.486,,0.521,,0.542,,0.540,,0.540,,0.535,,0.550,,..,,0.843,,1.030,,0.983,,0.931,,1.003,,1.147,,..,,..,,..,,..,,..,,..,,..,,10,,10,,8,,9,,..,,..,,9,,..,,..,,..,,..,,..,,..,,0.001,,0.016,,..,,..,,0.032,,0.083,,0.083,
Kyrgyzstan,..,,..,,..,,..,,37.6,,31.5,,..,,..,,32.3,,..,,32.3,,..,,..,,..,,0.481,,0.454,,..,,..,,..,,..,,..,,0.370,,0.778,,0.772,,0.786,,0.778,,0.759,,0.708,,0.700,,0.701,,0.702,,0.692,,..,,0.783,,0.833,,0.883,,0.922,,0.949,,0.972,,..,,..,,..,,..,,..,,..,,..,,77,,98,,81,,78,,..,,..,,81,,..,,..,,..,,..,,..,,..,,0.064,,0.001,,..,,..,,0.343,,0.343,,0.304,
Lao People's Democratic Republic,..,,..,,..,,..,,55.5,,52.0,,..,,..,,37.4,,..,,37.4,,..,,..,,..,,0.808,,0.573,,0.547,,..,,..,,..,,..,,0.513,,0.956,,0.963,,0.968,,0.973,,0.977,,0.985,,0.986,,0.987,,0.988,,0.985,,..,,0.156,,0.213,,0.319,,0.417,,0.507,,0.568,,..,,..,,..,,..,,..,,..,,..,,"1,200",,970,,790,,650,,..,,..,,580,,..,,..,,..,,..,,..,,..,,0.269,,0.298,,..,,..,,0.337,,0.337,,0.337,
Latvia,..,,..,,..,,..,,21.9,,16.6,,..,,..,,15.2,,..,,15.2,,..,,..,,..,,0.365,,0.299,,0.211,,..,,..,,..,,..,,0.216,,0.839,,0.829,,0.816,,0.751,,0.752,,0.769,,0.773,,0.779,,0.790,,0.773,,..,,0.914,,0.937,,0.948,,0.967,,1.006,,0.976,,..,,..,,..,,..,,..,,..,,..,,57,,58,,42,,21,,..,,..,,20,,..,,..,,..,,..,,..,,..,,0.205,,0.266,,..,,..,,0.250,,0.282,,0.250,
Lebanon,..,,..,,..,,..,,32.0,,19.8,,..,,..,,16.2,,..,,16.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.440,,0.217,,0.212,,0.275,,0.270,,0.279,,0.298,,0.305,,0.312,,0.311,,0.312,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,52,,45,,36,,29,,..,,..,,26,,..,,..,,..,,..,,..,,..,,0.024,,0.049,,..,,..,,0.049,,0.032,,0.032,
Lesotho,..,,..,,..,,..,,94.0,,89.6,,..,,..,,73.5,,..,,73.5,,..,,..,,..,,0.557,,0.577,,0.564,,..,,..,,..,,..,,0.532,,0.823,,0.821,,0.815,,0.823,,0.861,,0.890,,0.894,,0.898,,0.902,,0.911,,..,,0.767,,1.000,,1.180,,1.244,,1.229,,1.194,,..,,..,,..,,..,,..,,..,,..,,370,,340,,470,,570,,..,,..,,530,,..,,..,,..,,..,,..,,..,,0.120,,0.205,,..,,..,,0.248,,0.297,,0.297,
Liberia,..,,..,,..,,..,,152.2,,146.1,,..,,..,,141.6,,..,,141.6,,..,,..,,..,,0.848,,0.692,,0.677,,..,,..,,..,,..,,0.671,,0.854,,0.856,,0.837,,0.845,,0.858,,0.869,,0.872,,0.875,,0.878,,0.879,,..,,0.274,,0.274,,0.280,,0.303,,0.335,,0.359,,..,,..,,..,,..,,..,,..,,..,,"1,100",,"1,400",,"1,100",,"1,100",,..,,..,,990,,..,,..,,..,,..,,..,,..,,0.125,,0.160,,..,,..,,0.160,,0.160,,0.160,
Libyan Arab Jamahiriya,..,,..,,..,,..,,4.7,,3.8,,..,,..,,3.2,,..,,3.2,,..,,..,,..,,0.673,,..,,0.375,,..,,..,,..,,..,,0.314,,0.158,,0.170,,0.206,,0.250,,0.300,,0.313,,0.311,,0.308,,0.303,,0.313,,..,,0.331,,0.539,,0.611,,0.749,,0.891,,1.073,,..,,..,,..,,..,,..,,..,,..,,100,,85,,74,,68,,..,,..,,64,,..,,..,,..,,..,,..,,..,,..,,0.050,,..,,..,,0.083,,0.083,,0.083,
Liechtenstein,..,,..,,..,,..,,9.0,,8.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.316,,..,,..,,0.316,,0.316,,0.316,
Lithuania,..,,..,,..,,..,,32.2,,20.6,,..,,..,,21.9,,..,,21.9,,..,,..,,..,,0.277,,..,,0.197,,..,,..,,..,,..,,0.192,,0.823,,0.812,,0.799,,0.775,,0.826,,0.810,,0.819,,0.816,,0.814,,0.809,,..,,0.839,,0.857,,0.875,,0.898,,0.925,,0.929,,..,,..,,..,,..,,..,,..,,..,,34,,21,,20,,12,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,0.209,,..,,..,,0.216,,0.237,,0.237,
Luxembourg,..,,..,,..,,..,,10.1,,11.8,,..,,..,,12.3,,..,,12.3,,..,,..,,..,,0.174,,0.169,,0.176,,..,,..,,..,,..,,0.169,,0.457,,0.487,,0.500,,0.534,,0.626,,0.702,,0.731,,0.742,,0.741,,0.759,,..,,0.723,,0.747,,0.792,,0.818,,0.858,,0.882,,..,,..,,..,,..,,..,,..,,..,,6,,11,,11,,17,,..,,..,,17,,..,,..,,..,,..,,..,,..,,0.200,,0.304,,..,,..,,0.304,,0.250,,0.250,
Madagascar,..,,..,,..,,..,,155.1,,149.5,,..,,..,,132.8,,..,,132.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.925,,0.938,,0.943,,0.944,,0.937,,0.943,,0.945,,0.947,,0.949,,0.949,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,710,,680,,580,,490,,..,,..,,440,,..,,..,,..,,..,,..,,..,,..,,0.092,,..,,..,,0.134,,..,,0.138,
Malawi,..,,..,,..,,..,,160.9,,159.1,,..,,..,,135.2,,..,,135.2,,..,,..,,..,,0.712,,..,,0.652,,..,,..,,..,,..,,0.594,,0.949,,0.949,,0.952,,0.959,,0.959,,0.950,,0.951,,0.953,,0.955,,0.951,,..,,0.231,,0.256,,0.295,,0.306,,0.334,,0.381,,..,,..,,..,,..,,..,,..,,..,,910,,830,,770,,620,,..,,..,,510,,..,,..,,..,,..,,..,,..,,..,,0.158,,..,,..,,0.149,,0.263,,0.263,
Malaysia,..,,..,,..,,..,,15.0,,15.2,,..,,..,,12.8,,..,,12.8,,..,,..,,..,,0.352,,0.311,,0.305,,..,,..,,..,,..,,0.286,,0.532,,0.532,,0.534,,0.525,,0.548,,0.551,,0.552,,0.554,,0.554,,0.561,,..,,0.579,,0.734,,0.757,,0.814,,0.844,,0.885,,..,,..,,..,,..,,..,,..,,..,,56,,46,,39,,34,,..,,..,,31,,..,,..,,..,,..,,..,,..,,0.170,,0.151,,..,,..,,0.171,,0.163,,0.163,
Maldives,..,,..,,..,,..,,46.6,,23.0,,..,,..,,13.4,,..,,13.4,,..,,..,,..,,0.597,,..,,0.363,,..,,..,,..,,..,,0.320,,0.303,,0.386,,0.401,,0.383,,0.525,,0.671,,0.698,,0.724,,0.752,,0.742,,..,,0.761,,0.770,,0.778,,0.799,,0.828,,0.789,,..,,..,,..,,..,,..,,..,,..,,510,,240,,110,,52,,..,,..,,37,,..,,..,,..,,..,,..,,..,,..,,0.136,,..,,..,,0.136,,0.069,,0.069,
Mali,..,,..,,..,,..,,190.9,,189.5,,..,,..,,162.9,,..,,162.9,,..,,..,,..,,0.726,,0.722,,0.722,,..,,..,,..,,..,,0.712,,0.566,,0.563,,0.542,,0.525,,0.526,,0.543,,0.545,,0.547,,0.548,,0.562,,..,,0.177,,0.218,,0.292,,0.298,,0.321,,0.332,,..,,..,,..,,..,,..,,..,,..,,"1,200",,"1,100",,980,,880,,..,,..,,830,,..,,..,,..,,..,,..,,..,,0.140,,0.114,,..,,..,,0.114,,0.114,,0.114,
Malta,..,,..,,..,,..,,16.5,,16.2,,..,,..,,11.5,,..,,11.5,,..,,..,,..,,0.348,,..,,0.270,,..,,..,,..,,..,,0.272,,0.303,,0.289,,0.309,,0.343,,0.420,,0.442,,0.450,,0.478,,0.500,,0.468,,..,,0.731,,0.767,,0.796,,0.830,,0.848,,0.864,,..,,..,,..,,..,,..,,..,,..,,14,,12,,11,,9,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,0.102,,..,,..,,0.095,,0.095,,0.095,
Marshall Islands,..,,..,,..,,..,,97.5,,73.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.031,,0.031,,..,,..,,0.031,,0.031,,0.031,
Mauritania,..,,..,,..,,..,,96.5,,88.0,,..,,..,,90.0,,..,,90.0,,..,,..,,..,,0.779,,0.718,,..,,..,,..,,..,,..,,0.605,,0.629,,0.636,,0.641,,0.657,,0.682,,0.708,,0.711,,0.716,,0.721,,0.728,,..,,0.140,,0.182,,0.236,,0.284,,0.325,,0.355,,..,,..,,..,,..,,..,,..,,..,,780,,710,,640,,590,,..,,..,,550,,..,,..,,..,,..,,..,,..,,0.031,,..,,..,,..,,0.248,,0.238,,0.238,
Mauritius,..,,..,,..,,..,,36.3,,36.5,,..,,..,,39.3,,..,,39.3,,..,,..,,..,,0.476,,..,,0.356,,..,,..,,..,,..,,0.353,,0.372,,0.425,,0.464,,0.482,,0.504,,0.535,,0.543,,0.535,,0.554,,0.546,,..,,0.617,,0.664,,0.647,,0.730,,0.744,,0.825,,..,,..,,..,,..,,..,,..,,..,,72,,67,,28,,32,,..,,..,,36,,..,,..,,..,,..,,..,,..,,..,,0.207,,..,,..,,0.207,,0.207,,0.232,
Mexico,..,,..,,..,,..,,77.8,,74.4,,..,,..,,64.8,,..,,64.8,,..,,..,,..,,0.506,,0.498,,0.463,,..,,..,,..,,..,,0.448,,0.391,,0.409,,0.409,,0.452,,0.470,,0.505,,0.513,,0.523,,0.532,,0.537,,..,,0.703,,0.765,,0.832,,0.844,,0.868,,0.892,,..,,..,,..,,..,,..,,..,,..,,93,,85,,90,,87,,..,,..,,85,,..,,..,,..,,..,,..,,..,,0.189,,0.311,,..,,..,,0.284,,0.351,,0.342,
Micronesia (Federated States of),..,,..,,..,,..,,44.8,,34.3,,..,,..,,25.4,,..,,25.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.001,,..,,..,,0.001,,0.001,,0.001,
Moldova (Republic of),..,,..,,..,,..,,58.1,,37.4,,..,,..,,33.8,,..,,33.8,,..,,..,,..,,0.474,,..,,0.312,,..,,..,,..,,..,,0.298,,0.836,,0.822,,0.822,,0.835,,0.871,,0.921,,0.915,,0.911,,0.905,,0.875,,..,,0.810,,0.837,,0.866,,0.887,,0.902,,0.915,,..,,..,,..,,..,,..,,..,,..,,62,,60,,39,,25,,..,,..,,32,,..,,..,,..,,..,,..,,..,,..,,0.140,,..,,..,,0.278,,0.312,,0.232,
Monaco,..,,..,,..,,..,,7.7,,15.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.286,,0.263,,..,,..,,0.333,,0.353,,0.353,
Mongolia,..,,..,,..,,..,,32.8,,21.8,,..,,..,,16.6,,..,,16.6,,..,,..,,..,,0.315,,..,,0.397,,..,,..,,..,,..,,0.410,,0.835,,0.834,,0.818,,0.830,,0.846,,0.858,,0.860,,0.863,,0.866,,0.867,,..,,0.715,,0.773,,0.887,,0.897,,0.941,,0.980,,..,,..,,..,,..,,..,,..,,..,,130,,110,,93,,79,,..,,..,,65,,..,,..,,..,,..,,..,,..,,..,,0.071,,..,,..,,0.043,,0.041,,0.041,
Montenegro,..,,..,,..,,..,,23.4,,20.9,,..,,..,,14.7,,..,,14.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.987,,..,,..,,..,,..,,..,,..,,..,,..,,15,,18,,20,,17,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.125,,0.125,,0.125,
Morocco,..,,..,,..,,..,,27.1,,19.5,,..,,..,,18.9,,..,,18.9,,..,,..,,..,,0.706,,0.687,,0.543,,..,,..,,..,,..,,0.510,,0.290,,0.294,,0.301,,0.329,,0.341,,0.328,,0.328,,0.331,,0.331,,0.327,,..,,0.392,,0.414,,0.428,,0.457,,0.489,,0.517,,..,,..,,..,,..,,..,,..,,..,,270,,220,,160,,130,,..,,..,,110,,..,,..,,..,,..,,..,,..,,0.007,,0.068,,..,,..,,0.066,,0.072,,0.072,
Mozambique,..,,..,,..,,..,,117.0,,176.4,,..,,..,,149.2,,..,,149.2,,..,,..,,..,,0.638,,0.617,,0.622,,..,,..,,..,,..,,0.602,,0.975,,0.972,,0.966,,0.977,,0.984,,0.978,,0.977,,0.977,,0.977,,0.976,,..,,1.000,,0.190,,0.205,,0.264,,0.293,,0.284,,..,,..,,..,,..,,..,,..,,..,,"1,000",,890,,780,,640,,..,,..,,550,,..,,..,,..,,..,,..,,..,,0.429,,0.534,,..,,..,,0.534,,0.645,,0.645,
Myanmar,..,,..,,..,,..,,23.7,,19.3,,..,,..,,18.4,,..,,18.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.492,,0.788,,0.781,,0.793,,0.782,,0.766,,0.750,,0.749,,0.748,,0.749,,0.742,,..,,0.426,,0.476,,1.000,,0.985,,1.014,,1.040,,..,,..,,..,,..,,..,,..,,..,,420,,350,,290,,250,,..,,..,,240,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.042,
Namibia,..,,..,,..,,..,,90.4,,81.7,,..,,..,,74.4,,..,,74.4,,..,,..,,..,,0.505,,0.511,,0.491,,..,,..,,..,,..,,0.466,,0.645,,0.652,,0.748,,0.770,,0.761,,0.800,,0.810,,0.821,,0.833,,0.828,,..,,0.784,,0.813,,0.877,,0.929,,1.021,,1.063,,..,,..,,..,,..,,..,,..,,..,,180,,170,,220,,240,,..,,..,,180,,..,,..,,..,,..,,..,,..,,0.256,,0.368,,..,,..,,0.368,,0.368,,0.333,
Nauru,..,,..,,..,,..,,45.6,,38.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.001,,..,,..,,0.001,,0.001,,0.001,
Nepal,..,,..,,..,,..,,129.1,,119.9,,..,,..,,101.4,,..,,101.4,,..,,..,,..,,0.724,,0.680,,0.665,,..,,..,,..,,..,,0.558,,0.523,,0.563,,0.619,,0.678,,0.737,,0.766,,0.772,,0.780,,0.789,,0.788,,..,,0.077,,0.183,,0.253,,0.273,,0.315,,0.387,,..,,..,,..,,..,,..,,..,,..,,870,,700,,550,,440,,..,,..,,380,,..,,..,,..,,..,,..,,..,,0.086,,0.069,,..,,..,,0.496,,0.496,,0.496,
Netherlands,..,,..,,..,,..,,6.2,,7.1,,..,,..,,3.8,,..,,3.8,,..,,..,,..,,0.095,,0.090,,0.077,,..,,..,,..,,..,,0.052,,0.571,,0.567,,0.611,,0.676,,0.731,,0.783,,0.789,,0.801,,0.808,,0.816,,..,,0.889,,0.912,,0.928,,0.945,,0.955,,0.958,,..,,..,,..,,..,,..,,..,,..,,10,,11,,13,,8,,..,,..,,9,,..,,..,,..,,..,,..,,..,,0.490,,0.520,,..,,..,,0.642,,0.654,,0.607,
