,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.295,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.746,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.7,,30.7,,30.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.4,,12.7,,16.4,
Central African Republic,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.204,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.174,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.201,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.242,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,45.9,,45.9,,45.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.1,e,28.1,,28.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.8,,46.0,,49.8,
Chad,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.196,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.124,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.272,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.224,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37.8,,43.4,,37.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.8,e,21.0,,20.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.5,,52.0,,54.5,
Chile,..,,..,,55.5,,..,,..,,..,,..,,..,,..,,22.6,,..,,..,,52.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.652,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.688,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.462,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.871,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.3,,13.7,,13.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.1,f,34.1,,34.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.9,,6.6,,6.9,
China,..,,..,,..,,..,,..,,41.5,,..,,..,,..,,..,,..,,..,,41.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.534,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.478,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.436,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.730,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.2,,23.2,,23.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.5,g,29.5,,29.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.6,,13.5,,15.6,
Colombia,..,,..,,..,,57.2,,..,,..,,58.5,,..,,..,,..,,..,,..,,58.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.479,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.515,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.292,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.731,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.9,,22.8,,23.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.6,f,53.9,,43.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.1,,13.7,,15.1,
Comoros,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,64.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.193,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.437,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.4,,47.4,,47.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.0,h,..,,54.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.0,,32.6,,27.0,
Congo,..,,..,,..,,..,,..,,47.3,,..,,..,,..,,..,,..,,..,,47.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.367,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.390,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.342,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.371,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.0,,25.4,,30.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.0,e,30.3,,22.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.9,,37.0,,41.9,
Congo (Democratic Republic of the),..,,..,,..,,..,,..,,..,,44.4,,..,,..,,..,,..,,..,,44.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.172,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.245,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.093,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.224,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.1,,31.2,,29.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.1,e,36.8,,22.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,52.9,,50.0,,52.9,
Costa Rica,..,,..,,45.7,,..,,..,,..,,..,,..,,..,,50.3,,..,,..,,50.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.591,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.543,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.442,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.863,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.7,,17.7,,17.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.7,f,33.7,,33.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.3,,7.8,,8.3,
Croatia,..,,..,,..,,..,,..,,..,,..,,..,,33.7,,..,,..,,..,,33.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.675,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.697,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.523,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.844,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.4,,10.4,,10.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.8,e,27.8,,27.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.0,,5.5,,6.0,
Cuba,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.883,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.3,,..,,12.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,5.4,,5.8,
Cyprus,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.755,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.678,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.704,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.901,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.7,,15.0,,15.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.8,f,10.9,,13.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.1,,4.1,,5.1,
Czech Republic,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.821,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.912,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.695,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.874,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,1.3,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.2,f,9.6,,12.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.3,,3.9,,4.3,
Côte d'Ivoire,..,,41.2,,..,,36.7,,..,,..,,..,,..,,46.1,,..,,..,,..,,46.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.246,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.173,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.247,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.347,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.8,,43.2,,44.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.5,e,34.4,,20.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.5,,37.8,,40.5,
Denmark,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.842,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.895,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.751,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.887,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,3.1,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.3,f,10.2,,11.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.8,,4.4,,4.8,
Djibouti,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.275,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.156,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.355,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.377,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.0,,47.0,,47.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.3,e,21.3,,21.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.0,,36.9,,41.0,
Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Dominican Republic,..,,..,,..,,..,,..,,..,,..,,48.4,,..,,..,,..,,..,,48.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.510,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.451,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.417,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.707,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.2,,26.8,,22.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.6,f,33.8,,32.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.9,,16.0,,18.9,
Ecuador,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.0,,..,,..,,49.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.535,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.535,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.379,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.753,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.8,,22.1,,21.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.4,f,38.8,,23.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.2,,14.1,,15.2,
Egypt,..,,..,,..,,..,,..,,32.1,,..,,..,,..,,..,,..,,..,,32.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.489,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.331,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.487,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.723,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.6,,40.9,,43.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.9,e,14.2,,15.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.8,,13.9,,19.8,
El Salvador,..,,..,,..,,49.9,,..,,..,,..,,46.9,,..,,..,,..,,..,,46.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.495,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.431,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.403,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.698,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.5,,32.4,,32.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.7,f,31.1,,32.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.5,,15.2,,16.5,
Equatorial Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.303,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.268,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.2,,29.2,,29.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.2,,45.4,,48.2,
Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.481,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.2,,26.6,,30.2,
Estonia,..,,..,,..,,30.1,,..,,..,,..,,..,,..,,..,,..,,..,,36.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.769,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.891,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.627,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.813,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,2.7,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.7,f,14.5,,17.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.9,,6.0,,7.9,
Ethiopia,..,,..,,..,,40.0,,..,,29.8,,..,,..,,..,,..,,..,,..,,29.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.247,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.146,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.258,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.400,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.2,,38.2,,38.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.8,e,20.8,,20.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.1,,35.4,,42.1,
Fiji,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.676,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.0,,..,,11.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.9,,13.0,,13.9,
Finland,..,,..,,..,,..,,26.9,,..,,..,,..,,..,,..,,..,,..,,26.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.833,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.858,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.740,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.909,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.7,,2.1,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.4,f,10.6,,13.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,3.9,,4.0,
France,..,,..,,..,,32.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.804,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.791,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.705,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.930,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.1,,9.1,,9.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.9,f,13.9,,13.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.5,,4.2,,4.5,
Gabon,..,,..,,..,,..,,..,,41.5,,..,,..,,..,,..,,..,,..,,41.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.543,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.612,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.536,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.486,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.3,,7.3,,7.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.1,e,22.1,,22.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.9,,27.8,,31.9,
Gambia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.402,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.7,,..,,44.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.3,e,..,,33.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.5,,33.9,,38.5,
Georgia,..,,..,,..,,..,,..,,..,,..,,..,,41.3,,..,,..,,..,,41.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.630,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.812,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.428,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.720,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,3.3,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.9,h,22.7,,25.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.0,,15.1,,19.0,
Germany,..,,..,,..,,..,,28.3,,..,,..,,..,,..,,..,,..,,..,,28.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.842,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.911,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.717,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.915,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,1.8,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.7,f,14.5,,16.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.0,,4.4,
Ghana,..,,..,,..,,..,,..,,..,,42.8,,..,,..,,..,,..,,..,,42.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.367,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.339,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.288,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.506,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.5,,40.9,,7.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.4,e,27.2,,25.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.7,,27.5,,39.7,
Greece,..,,..,,..,,..,,34.3,,..,,..,,..,,..,,..,,..,,..,,34.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.756,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.738,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.649,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.900,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,14.3,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.9,f,17.1,,19.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,4.8,,4.0,
